V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.000	 60.000	 62.250	 64.500	 55.500	 56.625	 59.875	 59.875	 46.250	 34.125	 37.625	 35.375
lon	-16.000	 -8.875	 16.000	 27.375	-18.000	 -8.875	 15.000	 27.375	-16.500	 -7.500	 23.750	 42.500
N	  3.139	  1.749	  1.135	  0.880	  6.219	  2.536	  0.950	  0.880	  6.196	  1.621	  1.262	  2.768
S	  6.428	  2.756	  2.559	  1.413	  7.493	  2.756	  2.455	  1.413	  2.421	  0.232	  0.950	  0.602
W	  2.756	  2.756	  2.562	  2.394	  7.729	  6.758	  2.769	  2.769	  1.156	  0.490	  1.097	  0.952
E	  1.413	  1.413	 -0.025	  0.081	  5.050	  4.400	  1.408	  1.408	  1.189	  0.909	  0.863	  1.037
NW	  3.223	  2.220	  1.089	  0.701	  7.383	  2.879	  1.329	  0.743	  2.030	  0.777	  1.449	  1.529
NE	  2.896	  2.238	  1.681	  1.270	  5.529	  3.833	  1.678	  1.245	  2.710	  1.596	  0.817	  1.808
SE	  4.160	  2.831	  2.349	  1.111	  7.192	  3.991	  2.574	  1.820	  2.499	  1.012	  0.762	  0.589
SW	  7.263	  5.816	  2.221	  1.695	  8.305	  3.258	  2.257	  1.220	  1.582	  0.339	  0.977	  1.036
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 60.00	 60.00	 63.38	 63.25	 63.38	 56.62	 57.75	 59.88	 59.88	 46.25	 46.25	 37.62	 33.00
lon	-14.00	 -8.88	 18.00	 18.00	 27.38	-14.38	 -8.88	 18.00	 27.38	-14.12	 -8.88	 25.00	 45.00
N	  6.07	  4.35	  0.98	  0.98	  0.53	  5.96	  4.35	  0.98	  0.53	  6.03	  4.35	  1.11	  1.60
S	  7.50	  4.16	  2.10	  2.10	  1.48	  7.50	  4.16	  2.10	  1.48	  1.84	  1.49	  0.72	 -0.28
W	  3.57	  3.57	  2.69	  2.73	  2.69	  7.16	  6.45	  3.78	  3.78	  1.26	  1.26	  0.99	  1.35
E	  0.51	  0.51	 -0.59	 -0.67	 -0.59	  5.45	  3.99	  0.55	  0.55	  1.12	  1.12	  0.86	  0.65
NW	  6.24	  3.33	  0.83	  0.84	  0.72	  7.75	  5.06	  0.97	  0.70	  2.56	  5.21	  1.28	  1.64
NE	  5.62	  5.35	  1.33	  1.33	  1.04	  5.77	  4.55	  1.38	  1.07	  2.54	  1.26	  0.86	  0.12
SE	  5.99	  3.26	  2.40	  2.38	  1.62	  7.75	  3.78	  2.40	  1.77	  1.95	  1.90	  0.55	 -0.24
SW	  6.23	  7.30	  2.06	  2.05	  1.64	  7.78	  5.74	  2.05	  1.25	  1.15	  1.07	  0.88	 -0.12
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.0000	 60.0000	 66.7500	 64.5000	 57.7500	 57.7500	 59.8750	 59.8750	 46.2500	 46.2500	 35.3750	 33.0000
lon	-12.0000	 -8.8750	  9.2500	 27.3750	-11.2500	 -8.8750	 20.0000	 27.3750	-12.0000	 -8.8750	 27.2500	 45.0000
N	  4.9800	  4.5399	  0.9265	  0.7875	  4.9105	  4.5399	  0.8339	  0.7875	  4.9800	  4.5399	  0.9728	  1.9920
S	  6.3119	  5.5591	  1.1234	  1.2971	  6.1960	  5.5591	  2.0383	  1.2971	  1.5982	  1.4593	  0.2200	 -0.4864
W	  4.8642	  4.8642	  2.0244	  1.9369	  6.2507	  6.2507	  4.9613	  4.9613	  1.2561	  1.2561	  0.7954	  0.8976
E	 -2.0615	 -2.0615	 -0.6161	 -0.6187	 -0.3907	 -0.3907	 -2.1922	 -2.1922	  1.1054	  1.1054	  1.2783	  1.0081
NW	  5.2165	  4.7823	  0.8430	  0.8353	  5.9349	  5.4251	  0.8545	  0.8015	  1.8720	  3.1278	  1.7629	  1.8545
NE	  4.4815	  4.7783	  0.7857	  1.2251	  4.8200	  4.7261	  1.1981	  1.0685	  3.2228	  2.5524	  1.2789	  0.2308
SE	  6.2686	  4.4428	  1.7265	  1.3657	  7.1923	  5.8325	  2.0482	  1.6878	  1.9039	  1.7603	 -0.0089	 -0.4616
SW	  5.6008	  5.9983	  2.0282	  1.9100	  6.0728	  5.3489	  1.8703	  1.6344	  1.3082	  0.9491	  0.5332	 -0.2308
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.000	 60.000	 63.375	 73.500	 58.875	 58.875	 58.875	 59.875	 46.250	 46.250	 36.500	 33.000
lon	-10.000	 -8.875	  9.250	 27.375	 -9.375	 -8.875	  9.250	 27.375	 -9.000	 -8.875	 26.250	 45.000
N	  4.250	  4.088	  0.903	 -0.347	  3.984	  4.088	  0.903	  0.579	  4.065	  4.088	  1.054	  2.015
S	  4.772	  5.003	  1.923	  1.888	  4.853	  5.003	  1.679	  1.888	  1.378	  1.378	  0.475	 -0.255
W	  5.420	  5.420	  2.481	  2.528	  5.601	  5.601	  5.601	  5.446	  1.340	  1.340	  1.037	  0.801
E	 -1.506	 -1.506	 -1.137	 -2.528	 -1.613	 -1.613	 -1.613	 -1.523	  0.854	  0.854	  1.052	  1.422
NW	  4.635	  4.558	  0.930	   -Inf	  4.799	  4.635	  1.336	  0.634	  1.206	  1.216	  2.125	  1.514
NE	  4.483	  4.388	  1.396	   -Inf	  4.634	  4.736	  1.750	  0.892	  1.972	  1.927	  0.692	 -0.062
SE	  5.650	  5.441	  2.905	  0.990	  5.761	  5.650	  2.176	  2.061	  1.432	  1.441	  0.298	 -0.408
SW	  4.654	  4.679	  1.244	  0.998	  4.916	  4.898	  0.974	  1.647	  1.096	  1.127	  0.790	  0.062
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	60.00	60.00	64.38	73.50	59.88	59.88	59.88	46.38	46.25	46.25	37.62	33.00
lon	-9.00	-8.00	 9.25	27.38	-9.00	-8.00	 9.25	40.50	-9.00	 0.00	27.25	45.00
N	 3.50	 3.61	 1.41	-0.16	 3.50	 3.61	 1.41	 1.32	 3.50	 2.72	 1.31	 1.48
S	 3.72	 3.69	 2.64	 1.74	 3.72	 3.69	 1.99	 0.85	 0.58	 1.58	 0.51	-0.15
W	 4.89	 4.89	 2.92	 2.12	 4.89	 4.89	 4.89	 1.46	 1.26	 1.26	 1.26	 1.22
E	-0.72	-0.72	-0.94	-1.30	-0.72	-0.72	-0.72	 0.32	 0.37	 0.37	 0.66	 0.80
NW	 3.33	 3.64	 1.22	 -Inf	 3.29	 3.61	 1.47	 1.47	 0.76	 2.41	 2.42	 1.28
NE	 3.77	 3.61	 1.97	 -Inf	 3.80	 3.58	 1.07	 1.52	 2.01	 0.51	 0.75	-0.30
SE	 4.48	 4.55	 3.94	 0.94	 4.48	 4.53	 2.76	 1.02	 1.04	 1.59	 0.17	-0.51
SW	 4.34	 4.21	 2.15	 0.85	 4.39	 4.25	 1.02	 0.97	 0.97	 0.79	 0.74	 0.30
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	63.375	61.125	66.750	71.250	59.875	59.875	59.875	46.375	34.250	42.000	36.375	33.000
lon	-9.000	-6.000	 9.250	27.375	-9.000	-4.000	 9.250	40.500	-9.000	-2.875	27.250	45.000
N	 2.814	 2.525	 2.328	 0.382	 2.814	 2.594	 2.328	 1.367	 2.814	 2.641	 1.031	 1.598
S	 3.208	 3.891	 2.224	 1.517	 3.208	 3.938	 2.224	 1.517	 0.521	 0.892	 0.278	-0.266
W	 3.618	 3.813	 2.817	 3.711	 3.877	 3.877	 3.877	 1.779	 1.093	 1.590	 1.553	 1.740
